,title,repro_index
318,Predicting the regulatory impacts of noncoding variants on gene expression through epigenomic integration across tissues and single-cell landscapes.,
319,Graph-based deep learning for integrating single-cell and bulk transcriptomic data to identify clinical cancer subtypes.,
320,Application of artificial intelligence large language models in drug target discovery.,
321,IGCLAPS: an interpretable graph contrastive learning method with adaptive positive sampling for scRNA-seq data analysis.,
322,scIMGCN: an Automatic Single-Cell Type Annotation Method Based on Interpretable Graph Convolutional Network.,
323,scVDM: A Diffusion Model Integrated With Conditional VAE for Generative Single-Cell Tasks.,
324,scGT:integration algorithm for single-cell RNA-seq and ATAC-seq based on graph transformer.,
325,sciLaMA: A Single-Cell Representation Learning Framework to Leverage Prior Knowledge from Large Language Models.,
326,A robust multi-scale clustering framework for single-cell RNA-seq data analysis.,
327,HL-BscPF: Hybrid learning facilitates brain cell auto-identification in multiple pathologies.,
328,scSTD: A Swin Transformer-Based Diffusion Model for Recovering scRNA-Seq Data.,
329,The Dissipation Theory of Aging: A Quantitative Analysis Using a Cellular Aging Map.,
330,TransAnno-Net: A Deep Learning Framework for Accurate Cell Type Annotation of Mouse Lung Tissue Using Self-supervised Pretraining.,
331,SGTB: A graph representation learning model combining transformer and BERT for optimizing gene expression analysis in spatial transcriptomics data.,
332,scTrans: Sparse attention powers fast and accurate cell type annotation in single-cell RNA-seq data.,
333,scCCTR: An iterative selection-based semi-supervised clustering model for single-cell RNA-seq data.,
334,AttentionGRN: a functional and directed graph transformer for gene regulatory network reconstruction from scRNA-seq data.,
335,Mouse-Geneformer: A deep learning model for mouse single-cell transcriptome and its cross-species utility.,
336,scPlantLLM: A Foundation Model for Exploring Single-cell Expression Atlases in Plants.,
337,Multi-omics analyses and machine learning prediction of oviductal responses in the presence of gametes and embryos.,
338,scFTAT: a novel cell annotation method integrating FFT and transformer.,
339,CausalGeD: Blending Causality and Diffusion for Spatial Gene Expression Generation.,
340,DECA: harnessing interpretable transformer model for cellular deconvolution of chromatin accessibility profile.,
341,scRDiT: Generating Single-cell RNA-seq Data by Diffusion Transformers and Accelerating Sampling.,
342,scHiGex: predicting single-cell gene expression based on single-cell Hi-C data.,
343,Transformer-based modeling of Clonal Selection and Expression Dynamics reveals resistance mechanisms in breast cancer.,
344,Integrating Prior Knowledge Using Transformer for Gene Regulatory Network Inference.,
345,Robust self-supervised learning strategy to tackle the inherent sparsity in single-cell RNA-seq data.,
346,scGraphformer: unveiling cellular heterogeneity and interactions in scRNA-seq data using a scalable graph transformer network.,
347,SpaDiT: diffusion transformer for spatial gene expression prediction using scRNA-seq.,
348,scGAA: a general gated axial-attention model for accurate cell-type annotation of single-cell RNA-seq data.,
349,A self-training interpretable cell type annotation framework using specific marker gene.,
350,scSwinFormer: A Transformer-Based Cell-Type Annotation Method for scRNA-Seq Data Using Smooth Gene Embedding and Global Features.,
351,PathFinder: a novel graph transformer model to infer multi-cell intra- and inter-cellular signaling pathways and communications.,
352,Multimodal Learning for Mapping the Genotype-Phenotype Dynamics.,
353,Continually adapting pre-trained language model to universal annotation of single-cell RNA-seq data.,
354,Mechanism of breast cancer immune microenvironment in prognosis of heart failure.,
355,scDeepInsight: a supervised cell-type identification method for scRNA-seq data with deep learning.,
356,Inference of single cell profiles from histology stains with the Single Cell omics from Histology Analysis Framework (SCHAF).,
357,CLM-X: A multimodal single-cell foundation model with flexible multi-way Transformer for unified scRNA-seq and scATAC-seq analysis,
358,MSK KO-village scRNA-seq v1,
359,scRFR: imputation of single-cell RNA-seq data based on recurrent feature inference scRFR: scRNA-seq imputation algorithm Image restoration technology applied to scRNA-seq imputation - scRNA-seq imputation algorithm uses recurrent feature inference model,
360,Human scRNA-seq Alignment Pipeline Version 1.0 v1,
361,Human CSF Processing  for 10x scRNA-seq v1,
362,scRNA-seq protocol v1,
363,JMN-MSMP Mouse Muscle Fibrosis scRNA-seq v1,
364,Fast and interpretable scRNA-seq data analysis,
365,scRNA-seq for Microcephaly Research [III]: Computational Analysis of scRNA-seq Data,
366,"Whole exome sequencing (WES), mutation and copy number analysis and Single-cell RNA-seq (scRNA-seq) v1",
367,Interoperability between Bioconductor and Python for scRNA-seq analysis,
368,Overview of scRNA-seq of Human Knee Meniscus v1,
369,Single-cell suspension preparation for scRNA-seq (10x chromium) v1,
370,JAX SCBL workflow for scRNA-seq of human placenta v1,
371,Self-supervised Graph Contrastive Learning for scRNA-seq Clustering,
372,Direct-seq: employing programmed gRNA scaffold for streamlined scRNA-seq in CRISPR screen,
373,Integrating unmatched scRNA-seq and scATAC-seq data and learning cross-modality relationship simultaneously,
374,Human Knee Meniscus Collection Protocol for scRNA-seq v1,
375,Editor's evaluation: Integrative analysis of scRNA-seq and scATAC-seq revealed transit-amplifying thymic epithelial cells expressing autoimmune regulator,
376,Archival preservation of cell suspensions for scRNA-Seq  v1,
377,[Digital twins in uro-oncology].,
378,Combined multi-omics and multi-spectral profiling of plasma extracellular vesicles reveals liquid biopsy biomarkers for glioma diagnosis.,
379,Subset binding enables detection of multimodal patient subgroup patterns and drug target discovery in idiopathic pulmonary fibrosis.,
380,A pipeline of machine learning-driven multi-modal data fusion methods for prognostic risk analysis in bevacizumab-treated metastatic colorectal cancer.,
381,"The Nexus of Stemness, Telomere Stability, and Metabolic Reprogramming in Glioblastoma: Foundations of Tumor Persistence and Targets for Intervention.",
382,Multimodal AI fuses proteomic and EHR data for rational prioritization of protein biomarkers in diabetic retinopathy.,
383,Recent advances in machine learning-enhanced extracellular vesicle omics for oncology.,
384,AI-Driven Drug Discovery: Focus on Targets for Solid Tumors.,
385,Artificial Intelligence in Cardiovascular Medicine: Focus on Hypertension.,
386,"Large language model agents for biological intelligence across genomics, proteomics, spatial biology, and biomedicine.",
387,LazySlide: accessible and interoperable whole-slide image analysis.,
388,Artificial intelligence for precision oncology from phenotyping and drug discovery to clinical translation.,
389,"Artificial intelligence in inflammatory bowel disease: bridging innovation, implementation and impact.",
390,A deep adversarial network model for multi-task analysis of single-cell omics data.,
391,"Human Systems Immunology in the Omics Era: Challenges, Methods, and Emerging Directions.",
392,Deep Learning-Enabled Multi-Omics Integration: A New Frontier in Precise Drug Target Discovery.,
393,Leveraging co-attention-based interactions between pathology and radiology for pan-cancer survival prediction.,
394,Machine learning model on multi-omics data enables risk stratification and identifies molecular heterogeneity and therapeutic targets in glioblastoma.,
395,Brain organoids as precision models for neurodegenerative diseases: from disease modeling to drug discovery.,
396,Artificial intelligence in immunotherapy: revolutionizing diagnostic and therapeutic applications in cancer and autoimmune diseases.,
397,Artificial intelligence models: transforming early diagnosis and precise treatment of gastrointestinal cancers.,
398,"Graph Learning in Bioinformatics: A Survey of Graph Neural Network Architectures, Biological Graph Construction and Bioinformatics Applications.",
399,"Transformer Models, Graph Networks, and Generative AI in Gut Microbiome Research: A Narrative Review.",
400,Artificial intelligence-powered prediction of diabetic complications: from clinical data to molecular omics.,
401,We wait for disease to shout-What if we listened when biology whispered?,
402,High-resolution spatial multi-omics enables prognostic scoring in intrahepatic cholangiocarcinoma.,
403,Harnessing AI to fuse phenotypic signatures for drug target identification: progress in computational modeling.,
404,"Risk prediction in IgA nephropathy: from conventional models to machine learning, deep learning, and precision nephrology.",
405,"Histopathology-centered Computational Evolution of Spatial Omics: Integration, Mapping, and Foundation Models.",
406,"Redefining Pathobiology with Spatial Multi-Omics at the Intersection of Biology, Computation, and Histopathological Assessment.",
407,Digital-Intelligent Precision Health Management: An Integrative Framework for Chronic Disease Prevention and Control.,
408,Multi-modal data to identify key factors influencing lung injury in ARDS patients undergoing invasive mechanical ventilation: A prospective multi-center observational study protocol.,
409,Charting exposomethics: a roadmap for the ethical foundations of the human exposome project.,
410,Comparative evaluation of multimodal point-of-care tests to differentiate gram-negative from gram-positive infections in critically ill adults: a diagnostic accuracy study.,
411,Spatially resolved integrative analysis of transcriptomic and metabolomic changes in tissue injury studies.,
412,Bridging ancient wisdom and modern technology: an AI and multi-omics framework for three causes tailored treatment in personalized medicine.,
413,"Spatial omics at the forefront: emerging technologies, analytical innovations, and clinical applications.",
414,Interpretable multimodal deep learning improves postoperative risk stratification in intrahepatic cholangiocarcinoma in multicentre cohorts.,
415,From Classical Machine Learning to Emerging Foundation Models: Review on Multimodal Data Integration for Cancer Research.,
416,Single-Cell Transcriptome Meta-Analysis Reveals Epigenomic and Chromatin Dysregulation in Developing Neurons Derived From Human ESCs With 1q21.1 CNVs.,
417,Query-driven generative AI synthesizes multi-modal spatial omics from histology.,
418,Bio-interpretable ensemble learning model for invasive pulmonary adenocarcinoma grade using CT and histopathology images.,
419,High-parameter spatial multi-omics through histology-anchored integration.,
420,Few-shot drug synergy prediction via rapid cross-tier adaptation meta-optimization.,
421,Integrating multimodal data to identify single nucleotide polymorphism-related biomarkers and regulatory mechanisms in Alzheimer's disease.,
422,"AI-driven virtual cell models in preclinical research: technical pathways, validation mechanisms, and clinical translation potential.",
423,Bronchoalveolar lavage fluid metagenomic datasets: a multidimensional clinical biomolecular resource.,
424,Long Noncoding RNA function prediction via multiview cross-contrastive learning combined with multiscale semantic adaptive optimization.,
425,AI-based neoadjuvant immunotherapy response prediction across pan-cancer: a comprehensive review.,
426,CelLink: integrating single-cell multi-omics data with weak feature linkage and imbalanced cell populations.,
427,Hypergraph-driven spatial multimodal fusion for precise domain delineation and tumor microenvironment decoding.,
428,Spatial omics in 3D culture model systems: decoding cellular positioning mechanisms and microenvironmental dynamics.,
429,Multi-omics analysis reveal clinical-gut-brain interactions in female ibs patients with adverse childhood experiences.,
430,Multimodal analysis of whole slide images in colorectal cancer.,
431,Oculomics meets exposomics: a roadmap for applying multi-modal ocular biomarkers in precision environmental health research.,
432,CeDNe: A multi-scale computational framework for modeling structure-function relationships in the  nervous system.,
433,Leveraging artificial intelligence in antibody-drug conjugate development: from target identification to clinical translation in oncology.,
434,Radiogenomics: transforming lung cancer care through non-invasive imaging and genomic integration.,
435,A narrative review of imaging intratumor heterogeneity in non-small cell lung cancer: current advances.,
436,Artificial intelligence in bioinformatics: a survey.,
437,[Clinical practice and challenges from simple models to precise integration for serological evaluation of a non-invasive diagnosis of liver fibrosis].,
438,Integrated multi-omics reveals glycolytic gene signatures of lung adenocarcinoma brain metastasis and the impact of Rac2 lactylation on immunosuppressive microenvironment.,
439,Integrative deep learning of spatial multi-omics with SWITCH.,
440,Integrating Spatial Omics and Deep Learning: Toward Predictive Models of Cardiomyocyte Differentiation Efficiency.,
441,"Transformative advances in single-cell omics: a comprehensive review of foundation models, multimodal integration and computational ecosystems.",
442,Multi-omics and Mendelian randomization identify  as a causal protective gene and NK cell-mediated prognostic biomarker in lung adenocarcinoma.,
443,Pain - related methylation driver genes affect the prognosis of pancreatic cancer patients by altering immune function and perineural infiltration.,
444,scooby: modeling multimodal genomic profiles from DNA sequence at single-cell resolution.,
445,Strategies for the drug development of cancer therapeutics.,
446,Leveraging knowledge for explainable AI in personalized cancer treatment: challenges and future directions.,
447,[The application and challenges of multi-modal data fusion based on deep learning in pathology].,
448,Computational toxicology in drug discovery: applications of artificial intelligence in ADMET and toxicity prediction.,
449,"[A Three‒Tiered AI Framework Toward Precision Oncology-Structuring, Reclassification, and Integration].",
450,SurvBoard: standardized benchmarking for multi-omics cancer survival models.,
451,ReduXis: A Comprehensive Framework for Robust Event-Based Modeling and Profiling of High-Dimensional Biomedical Data.,
452,Leveraging Multimodal Foundation Models in Biliary Tract Cancer Research.,
453,Dynamic Synthesis of Multi-Modal Representations for CITE-seq Data Integration and Analysis.,
454,Sea cucumber polypeptide ameliorates aging properties via the brain-gut axis in naturally aging mice.,
455,An Interdisciplinary Ecosystem for the Prevention of Cardiotoxicity in Older Patients With Breast Cancer: Protocol for a Prospective and Multicentric Study.,
456,Self-Normalizing Multi-Omics Neural Network for Pan-Cancer Prognostication.,
457,Multimodal fusion radiomic-immunologic scoring model: accurate identification of prostate cancer progression.,
458,A technical review of multi-omics data integration methods: from classical statistical to deep generative approaches.,
459,NAVIGATOR: A regional multimodal imaging biobank initiative powered by AI tools for precision medicine in oncology.,
460,Learning interpretable representations of single-cell multi-omics data with multi-output Gaussian processes.,
461,Deep phenotyping of health-disease continuum in the Human Phenotype Project.,
462,S100a9 Aggravates Ischemia Brain Injury via Pyroptosis Pathway: A Potential Prognostic Biomarker and Therapeutic Target for Ischemic Stroke.,
463,The Spatial Atlas of Human Anatomy (SAHA): A Multimodal Subcellular-Resolution Reference Across Human Organs.,
464,"Multi-modal models using fMRI, urine and serum biomarkers for classification and risk prognosis in diabetic kidney disease.",
465,Integrating GWAS and Transcriptomic Data Using PrediXcan and Multimodal Deep Learning Reveals Genetic Basis and Drug Repositioning Opportunities for Alzheimer's Disease.,
466,Muon: multimodal omics analysis framework,
467,IDDF2023-ABS-0192 Multi-omics landscape of disease progression characterized by an interpretable multimodal model vec3d,
468,Fine-tuning an ICL Tabular Foundation Model for Multi-Omics Prediction,
469,Multi-task learning from single-cell multimodal omics with Matilda,
470,LunarFM: A Multimodal Foundation Model for Lunar Science,
471,Multimodal deep learning approaches for single-cell multi-omics data integration,
472,A generalization of t-SNE and UMAP to single-cell multimodal omics,
473,Multimodal Methods for Knowledge Discovery from Bulk and Single-Cell Multi-Omics Data,
474,VARLOMS: A Multimodal CVAE Framework for Synthetic 3D MRI Generation from Multi-Omics Data,
475,MoTIF: a Method for Trustworthy Dynamic Multimodal Learning on Omics,
476,Analysis of the Value of Quantitative Features in Multimodal MRI Images to Construct a Radio-Omics Model for Breast Cancer Diagnosis,
477,MMBCSurv: Multimodal Breast Cancer Survival Prediction Integrating Histopathology Images and Multi-Omics Data via Dynamic Fusion,
478,A multimodal omics framework to empower target discovery for cardiovascular regeneration,
479,SmartCityFM: A Multimodal Foundation Model for Urban Intelligence Trained on Telecom Network Data,
480,Language may be all omics needs: Harmonizing multimodal data for omics understanding with CellHermes,
481,HUMAN MODALITIES IN HUMAN–ROBOT INTERACTION: A REVIEW FROM MULTIMODAL AND FOUNDATION MODEL PERSPECTIVES,
482,Comprehensive Benchmarking of CITE-seq versus DOGMA-seq Single Cell Multimodal Omics,
483,Ensemble deep learning of embeddings for clustering multimodal single-cell omics data,
484,Method of the Year 2019: Single-cell multimodal omics,
485,Triad-LMF: A Hierarchical Low-Rank Multimodal Fusion Framework for Robust Cancer Subtype Classification Using Multi-Omics Data,
486,Integrated Multimodal Omics and Dietary Approaches for the Management of Neurodegeneration,
487,Multimodal generation of astrocyte by integrating single-cell multi-omics data via deep learning,
488,Integration of Multimodal Large Language Models in Medical Imaging and Omics Data: A Comprehensive Review,
489,Benchmarking of multimodal single-cell omics data integration methods,
490,Multimodal regularized linear models with flux balance analysis for mechanistic integration of omics data,
491,OmicSense: Biosensor Development using Omics Data,
492,"Multi-omics integration reveals chromatin-associated lncRNA prognostic model in lung adenocarcinoma: Bridging GWAS, transcriptome and clinical outcomes",
493,GenBrain: A Generative Foundation Model of Multimodal Brain Imaging,
494,AutoGenome V2: New Multimodal Approach Developed for Multi-Omics Research,
495,Integrative Analysis of Multimodal Omics Data,
496,CoxFormer enables spatial omics inference with multimodal generative modeling,
497,Abstract 4207: Omics-aware patch aggregation via multimodal co-training with a scalable multi-omics encoder for slide-level prediction across an oncology biomarker panel,
498,Data Mining and Statistical Methods for Knowledge Discovery in Diseases Based on Multimodal Omics,
499,"KoHMT: A Multimodal Emotion Recognition Model Integrating KoELECTRA, HuBERT with Multimodal Transformer",
500,Single-cell multimodal omics: the power of many,
501,A Multimodal Foundation Model Framework for Globally-Coupled Core-Native Cloud Computing Networks and Chiplet Architecture Co-Design,
502,AI-driven integration of multi-omics and multimodal data for precision medicine,
503,A Multimodal PDE Foundation Model for Prediction and Scientific Text Descriptions,
504,MCOAN: multimodal contrastive representation learning for cross-omics adaptive disease regulatory network prediction,
505,Clustering single-cell multimodal omics data with jrSiCKLSNMF,
506,Foundation Model is Efficient Multimodal Multitask Model Selector,
507,An approach for integrating multimodal omics data into sparse and interpretable models,
508,scMMAE: masked cross-attention network for single-cell multimodal omics fusion to enhance unimodal omics,
509,Spatial transcriptomic atlas of murine neurotoxocariasis reveals region-specific host responses and dysfunction in the brain.,
510,A zero-inflated hierarchical generalized transformation model to address non-normality in spatially-informed cell-type deconvolution.,
511,Regional gene expression and brain atrophy in dementia with Lewy bodies: an imaging transcriptomics study.,
512,L-BMAA induces neurotoxicity through AMPK/Akt-TSC1/2-mTOR-mediated mitophagy dysregulation and apoptosis.,
513,DuaST: an integrated deep learning framework for spatial transcriptomics with cross-branch interaction.,
514,JAK inhibitors alleviate EGFR-inhibitor-induced diarrhea by protecting intestinal stem cells from adaptive-immune-exacerbated injury.,
515,The role of radiomics in predicting the response to neoadjuvant chemotherapy for breast cancer.,
516,Food Allergy-Induced Systemic Immune Alterations Affect Tumor Progression in a CT26 Colon Adenocarcinoma Mouse Model.,
517,SpaFun: discovering domain-specific spatial expression patterns and new disease-relevant genes using functional principal component analysis.,
518,Multi-Omics Integration in Urological Cancers: Unlocking Precision Diagnosis and Therapy Through Big Data.,
519,COVARE for modeling latent random effect correlations to detect genes with specific spatial expression patterns.,
520,Signaling Connectomics: A Brain-wide Framework for Intercellular Communication.,
521,Helicobacter pylori-linked gene CFAP73 rewires epithelial programs and shapes the gastric cancer microenvironment.,
522,Lipid accumulation in tuberculosis granulomas inhibits macrophage-CD4 T cell interactions and infection control.,
523,Spatially resolved osteoblast-traced transcriptomics uncovers TGF-β as a combination target with sclerostin in osteoporosis.,
524,Integrated spatial transcriptomics and pan-cancer XGBoost modeling uncover spatial drivers of immune exclusion and predict immunotherapy response.,
525,Transcriptional signatures and topological reorganization of morphometric similarity networks in temporal lobe epilepsy with unilateral hippocampal sclerosis.,
526,SAA/FPR2 Signaling Between Pericentral Hepatocytes and Macrophages Exacerbates Zonated Liver Transplant Injury.,
527,Single-Cell and Spatial Transcriptomic Profiling Reveals Epithelial Functional States and Fibroblast Phenotypes in Hormone Therapy-Naïve Localized Prostate Cancer.,
528,Transcriptomic advances in studies of muscle stem cell aging: From bulk to single-cell and beyond.,
529,STGNET: extending panel coverage in imaging-based spatial transcriptomics using deep generative adversarial networks.,
530,Integrated single-cell and spatial mapping coupled with machine learning unveils core stemness landscapes and regulatory drivers in triple-negative breast cancer.,
531,Mathematical dissection of tumor phenotypic heterogeneity in a spatial data-informed nonlocal reaction-diffusion model.,
532,MEG3 in glioma stem cells promotes glioblastoma angiogenesis through FUBP3-mediated VGF expression.,
533,Ultra-precision deconvolution of spatial transcriptomics decodes immune heterogeneity and fate-defining programs in tissues.,
534,Spatially structured inflammatory response in the presence of a uniform stimulus.,
535,FineST: contrastive learning integrates histology and spatial transcriptomics for nuclei-resolved ligand-receptor analysis.,
536,A Soft Matrix Microenvironment Promotes Laterally Spreading Tumors via Oxidative Phosphorylation-Dependent Cell Adhesion.,
537,Mast cell-derived MIF Polarizes Th17 cells to drive lung adenocarcinoma progression.,
538,Endogenous Multilayer Control of Cambial Stem Cells and Its Consequences for Wood Formation.,
539,Artificial intelligence assisted multi-model pathological diagnosis of breast cancer based on multispectral autofluorescence images.,
540,The landscape of B and plasma cells in breast cancer: insights from single-cell and spatial transcriptomics.,
541,AJUBA: The Master Regulator Bridging EMT and Immune Evasion in Colorectal Cancer.,
542,Comprehensive immune profiling reveals IFN-γ signaling in T cells mediates parasite phagocytosis in a rodent malaria model.,
543,Spatial Transcriptomics Meets Histochemistry: Insights from Glioblastoma as a Model System.,
544,BrainConnect: processing brain connectivity and spatial transcriptomics data for integrative analysis.,
545,Bridging tradition and innovation: electroacupuncture's impact on premature ovarian insufficiency.,
546,Immunotolerant Oligomer scaffolds promote regenerative remodeling and improved muscle structure and function after volumetric muscle loss.,
547,Selective weakening of population-coupled synaptic activity in vivo in a mouse model of amyloid-beta pathology.,
548,Spatially defined danger zone shapes gastric cancer progression through CCDC80 fibroblast-induced CD8 T cell dysfunction.,
549,Multi-Omics Data Reveal Estrogen-Driven Dysregulation and Stromal-Epithelial Signaling Alterations in Endometrial Polyps.,
550,Dissecting spatial patterning and signaling with directional diffusion in spatial multi-omics.,
551,"SDF2L1 modulates oxLDL-induced endoplasmic reticulum stress, protein aggregation, and O-mannosylation in myocardial infarction and lung cancer.",
552,"A hormetic transcriptional program coregulates invasion, proliferation and dormancy to define metastatic potential.",
553,Gut Microbiota-Induced CTLA4 Expression on CD8 T Cells Impairs Antitumor Immunity and Promotes Colorectal Cancer Progression.,
554,The dorsal root ganglion T-junction: a critical node in somatosensory processing and pain pathogenesis.,
555,Structural dynamics of microtubules in glioma: impact on macrophage M2 polarization and tumor cell heterogeneity.,
556,Multiomics and experimental validation reveal theophylline's mechanism targeting IL1A/ACTB/TLR4 and identify synergistic drugs in hepatocellular carcinoma.,
557,Mechanism of cancer-associated fibroblast-driven thyroid cancer dedifferentiation via the ZFP57-PKM2 axis-mediated lactate secretion and therapeutic intervention with resveratrol​.,
558,Reconstructing single-cell resolution from spatial transcriptomics with CellRefiner.,
559,Normal abundance of immune cells in left ventricular myocardium from patients with heart failure and preserved ejection fraction.,
560,"NAFLD and Hypothyroidism: Deciphering Pivotal Genetic Variants, Cellular Expression Landscapes, and Spatial Architectures.",
561,Single-cell transcriptomics reveals hair growth retardation mediated by aberrant connective tissue sheath contraction in male androgenetic alopecia.,
562,Emerging trends and converging evidence in tumor evolution: A comprehensive review.,
563,Fitness Training for γδ T cells in mouse and human atherosclerosis takes place in plaques and artery tertiary lymphoid organs.,
564,CD14 Plays a Critical Role in Pain and Inflammation Across Multiple Models of Post-traumatic Osteoarthritis.,
565,Single-nucleus transcriptomics of an engineered pig model reveals microglia-T cell interactions driving Huntington's disease neurodegeneration.,
566,A spatial transcriptomics comparison of the adult versus metamorphosed axolotl brain.,
567,Single-cell and spatial transcriptomics define 20E-driven developmental reprogramming in silkworm wing disc.,
568,Multi-omics analysis reveals that CAPG positive macrophages are key immunosuppressive drivers and prognostic determinants in the ferroptosis landscape of hepatocellular carcinoma.,
569,MIF-CD74 axis facilitates MDSC infiltration in the tumor microenvironment of pancreatic ductal adenocarcinoma.,
570,UNC93B1 promotes pancreatic cancer progression through modulation of cGAS-STING signaling.,
571,Upregulation of SLC38A2 by melatonin attenuates hippocampal ferroptosis in Alzheimer's disease.,
572,"Single-cell transcriptomic analysis and machine learning identify ATAD3A as a key gene that stabilizes mitochondrial-endoplasmic reticulum membranes, promoting bladder cancer progression.",
573,Single-cell RNA sequencing and spatial transcriptomic analysis reveal a distinct population of G6PD cells with aberrant bile acid metabolism in hepatocellular carcinoma.,
574,Systemic CSF1R Targeting Depletes Pathogenic MPS Bubs and Ameliorates Psoriasis via PPARα-mediated Resolution.,
575,DeepSGE: predicting spatial gene expression using residual network with efficient channel attention and dynamic graph attention network.,
576,3D reconstruction of spatial transcriptomics with spatial pattern enhanced graph convolutional neural network.,
577,SpatialESD: Spatial Ensemble Domain Detection in Spatial Transcriptomics.,
578,Recent Advances in Single-Cell Analysis of Atherosclerotic Plaque Biology.,
579,HistoSweep enables cellular-resolution tissue quality control for gigapixel images in digital pathology and spatial omics.,
580,A perspective on developing foundation models for analyzing spatial transcriptomic data.,
581,Identification of UBE2T as a novel diagnostic biomarker of psoriasis and proliferating UBE2T+ Keratinocyte in psoriasis.,
582,Signal-based spatial domain identification of spatially resolved transcriptomics with multigraph fusion.,
583,"Integrated multi-omics, spatial profiling and organoid modeling drive transformative advances in chronic liver disease and hepatocellular carcinoma immunomicroenvironment research.",
584,A novel integrative machine learning-based prognostic model reveals lactylation regulation in hepatocellular carcinoma progression.,
585,Attention-guided enhanced deconvolution enables reference-free cell type estimation in spatial transcriptomics.,
586,Combining Spatial Transcriptomics and Machine Learning Unravels Fibroblast-Related Biomarkers in Ulcerative Colitis.,
587,Integrating Spatial Proteogenomics in Cancer Research.,
588,RT-ICI therapy induces a distal immunometabolic axis that shapes systemic macrophage polarization and enhances local T cell immunity.,
589,"Spatial resolution of the metastatic osteosarcoma tumor microenvironment using immunolabeling across murine, canine and human lung.",
590,SAGE-FM: A lightweight and interpretable spatial transcriptomics foundation model.,
591,ISG15-driven immune modulation and tumor progression in breast cancer metastasis: insights from single-cell and spatial transcriptomics.,
592,Unraveling dengue virus-host interactions through transcriptomics: Insights into disease progression and severity signatures.,
593,Spatial transcriptomics reveals tumor microenvironment-driven subtypes of invasive lobular carcinoma.,
594,Self-supervised pretraining with NuSPIRe unlocks nuclear morphology-driven insights in spatial omics.,
595,The Role of CCR1 as a decisive factor for immune response activation versus suppression phenotypes in gastric cancer.,
596,Molecular signatures of resilience to Alzheimer's disease in neocortical layer 4 neurons.,
597,AIDO.Tissue: Spatial Cell-Guided Pretraining for Scalable Spatial Transcriptomics Foundation Model,
598,Novae: a graph-based foundation model for spatial transcriptomics data,
599,STPath: A Generative Foundation Model for Integrating Spatial Transcriptomics and Whole Slide Images,
600,stDiff: a diffusion model for imputing spatial transcriptomics through single-cell transcriptomics,
601,Building a spatial transcriptomics platform,
602,Interactive visualisation of spatial transcriptomics data,
603,Mapping tissue remodelling using sequencing-based spatial transcriptomics,
604,Inferring cell-cell communication through spatial transcriptomics data,
605,"Imaging-based spatial transcriptomics: methods, preprocessing, and quality control",
606,Current computational methods for spatial transcriptomics in cancer biology,
607,FISHFactor: A Probabilistic Factor Model for Spatial Transcriptomics Data with Subcellular Resolution,
608,Visualising integrated single cell and spatial transcriptomics datasets,
609,stBERT: A Pretrained Model for Spatial Domain Identification of Spatial Transcriptomics,
610,Fast analysis of Spatial Transcriptomics (FaST): an ultra lightweight and fast pipeline for the analysis of high resolution spatial transcriptomics,
611,Spatial transcriptomics in action: a case study from human reproductive development,
612,TSRST: A LongNet Transformer Model for Imputing Super-Resolution Spatial Transcriptomics,
613,Discovering cell type and tissue architecture with imaging-based spatial transcriptomics,
614,Diffusionst: A Diffusion Model-Based Framework for Enhancing Spatial Transcriptomics Data Quality and Identifying Spatial Domains,
615,Spatially Guided Single-Cell Analysis Integrating Spatial Transcriptomics and Spatial Cell Sorting for In-Depth Profiling,
616,DiffuST: a latent diffusion model for spatial transcriptomics denoising,
617,Spatial Transcriptomics-Aided Localization for Single-Cell Transcriptomics with STALocator,
618,SONAR enables cell type deconvolution with spatially weighted Poisson-Gamma model for spatial transcriptomics,
619,Masked Conditional Diffusion Model with GNN for Spatial Transcriptomics Data Imputation,
620,Integrating single-cell and spatial transcriptomics to map the rules of neurological conditions,
621,Mapping biology in space: a guide to technologies and workflows in spatial transcriptomics,
622,STANCE: a unified statistical model to detect cell-type-specific spatially variable genes in spatial transcriptomics,
623,ISID0319 - Spatial transcriptomics and single-cell transcriptomics elucidates the intricate inflammatory cellular network in atopic dermatitis,
624,Halo: a pretrained model for whole-cell segmentation from nuclei images in spatial transcriptomics,
625,Spatial transcriptomics,
626,Museum of spatial transcriptomics,
627,TESSA: A unified model to detect trajectory-preserved and spatially-variable genes in spatial transcriptomics,
628,Non-negative spatial matrix factorization for multi-sample spatial transcriptomics data,
629,Deep learning-based multimodal spatial transcriptomics analysis for cancer,
630,Crosstalk between tumor and microenvironment: Insights from spatial transcriptomics,
631,E2BRN006 - Spatial transcriptomics on human epidermal equivalents,
632,Spatial transcriptomics dimensionality reduction using wavelet bases,
633,Cross-Propagative Graph Learning Reveals Spatial Tissue Domains in Multi-Modal Spatial Transcriptomics,
634,Detection of differentially expressed genes in spatial transcriptomics data by spatial analysis of spatial transcriptomics: A novel method based on spatial statistics,
635,A Bayesian Multivariate Mixture Model for Spatial Transcriptomics Data,
636,stIHC: Spatial Transcriptomics Iterative Hierarchical Clustering,
637,"Integrative analysis of scRNA-seq, spatial transcriptomics, and machine learning constructs a prognostic model for Pyrotinib resistance in breast cancer",
638,SMART: spatial transcriptomics deconvolution using marker-gene-assisted topic model,
639,Interpretable Spatial Gradient Analysis for Spatial Transcriptomics Data,
